id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_post_win_prob,away_id,away_team,away_conference,away_points,away_post_win_prob,excitement_index,team,opponent,team_points,opp_points,win_loss,stadium_lat,stadium_lon,stadium_zip,UL_lat,UL_lon,UL_zip,dist_m,dist_km,dist_mi,MOV,game_dt,game_id,school,conference,home_away,points,total_yards,net_passing_yards,completion_attempts,passing_tds,yards_per_pass,passes_intercepted,interception_yards,interception_tds,rushing_attempts,rushing_yards,rush_tds,yards_per_rush_attempt,first_downs,down3_success,down3_attempts,down4_success,down4_attempts,punt_returns,punt_return_yards,punt_return_tds,kick_return_yards,kick_return_tds,kick_returns,kicking_points,fumbles_recovered,fumbles_lost,total_fumbles,tackles,tackles_for_loss,sacks,qb_hurries,interceptions,passes_deflected,turnovers,defensive_tds,penalties,penalty_yardage,possession_time,down3_eff,down4_eff,penalties_yards_total
400869440,2016,3,regular,2016-09-17T12:00:00.000Z,,FALSE,TRUE,55632,3873,Papa John's Cardinal Stadium,97,Louisville,ACC,63,0.9999531378353671,52,Florida State,ACC,20,0.00004686216463289927,2.8198635075,Louisville,Florida State,63,20,W,38.2061,85.7588,40209,38.2061,85.7588,40209,0,0,0,43,2016-09-17,400869440,Louisville,ACC,home,63,530,216,13-20,1,10.8,1,36,0,46,314,7,6.8,24,5,10,0,0,2,130,1,32,0,2,9,1,0,0,38,9,5,5,1,5,1,1,5,56,28:01,5-10,0-0,5-56
400869366,2016,4,regular,2016-09-24T20:00:00.000Z,,FALSE,FALSE,40592,3775,Joan C. Edwards Stadium,276,Marshall,Conference USA,28,0.00404363063701705,97,Louisville,ACC,59,0.9959563693629829,0.609588529899999,Louisville,Marshall,59,28,W,38.4249,82.421,25703,38.2061,85.7588,40209,292530.32402785,292.53032402785,181.769859971509,31,2016-09-24,400869366,Louisville,ACC,away,59,690,417,24-44,5,9.5,1,0,0,41,273,3,6.7,32,7,14,2,2,3,13,0,71,0,3,11,1,2,2,27,6,2,3,1,5,3,0,12,143,30:54,7-14,2-2,12-143
400869453,2016,5,regular,2016-10-01T20:00:00.000Z,,FALSE,TRUE,83362,3836,Memorial Stadium,228,Clemson,ACC,42,0.8754844638233552,97,Louisville,ACC,36,0.12451553617664479,8.27312691519999,Louisville,Clemson,36,42,L,34.6787,82.8432,29631,38.2061,85.7588,40209,471484.606943591,471.484606943591,292.966861701146,-6,2016-10-01,400869453,Louisville,ACC,away,36,568,295,27-44,1,6.7,3,0,0,55,273,3,5.0,31,9,19,0,1,2,15,0,46,0,3,12,2,2,3,38,2,0,0,1,3,3,0,11,104,37:29,9-19,0-1,11-104
,2016,6,,,,,,,,,,,,,,,,,,,,,BYE WEEK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400869461,2016,7,regular,2016-10-14T19:00:00.000Z,,FALSE,TRUE,55121,3873,Papa John's Cardinal Stadium,97,Louisville,ACC,24,0.9857319518377604,150,Duke,ACC,14,0.014268048162239588,2.2097347761,Louisville,Duke,24,14,W,38.2061,85.7588,40209,38.2061,85.7588,40209,0,0,0,10,2016-10-14,400869461,Louisville,ACC,home,24,469,181,13-26,1,7.0,,,,35,288,2,8.2,21,5,11,0,0,3,19,0,50,0,3,6,0,1,1,34,5,1,5,0,2,1,0,4,32,22:48,5-11,0-0,4-32
400869469,2016,8,regular,2016-10-22T12:00:00.000Z,,FALSE,TRUE,55218,3873,Papa John's Cardinal Stadium,97,Louisville,ACC,54,0.999990901427228,152,NC State,ACC,13,0.000009098572771981672,0.358807786099999,Louisville,NC State,54,13,W,38.2061,85.7588,40209,38.2061,85.7588,40209,0,0,0,41,2016-10-22,400869469,Louisville,ACC,home,54,553,390,21-36,3,10.8,3,78,0,44,163,3,3.7,24,6,16,2,2,1,8,0,83,0,3,18,0,2,2,36,8,1,2,0,3,2,0,12,94,32:07,6-16,2-2,12-94
400869475,2016,9,regular,2016-10-29T12:00:00.000Z,,FALSE,TRUE,34824,3923,Scott Stadium,258,Virginia,ACC,25,0.03349016035813567,97,Louisville,ACC,32,0.9665098396418643,5.04510385939999,Louisville,Virginia,32,25,W,38.0311,78.5137,22903,38.2061,85.7588,40209,634655.031437523,634.655031437523,394.356231539365,7,2016-10-29,400869475,Louisville,ACC,away,32,508,361,24-41,4,8.8,2,37,0,34,147,0,4.3,27,3,12,2,3,,,,50,0,2,6,0,1,2,42,4,1,0,1,5,2,0,7,68,27:42,3-12,2-3,7-68
400869476,2016,10,regular,2016-11-05T12:00:00.000Z,,FALSE,TRUE,30644,3615,Alumni Stadium,103,Boston College,ACC,7,0.0036273265258502975,97,Louisville,ACC,52,0.9963726734741497,0.416053936,Louisville,Boston College,52,7,W,42.3351,71.1665,02467,38.2061,85.7588,40209,1319795.50736538,1319.79550736538,820.082654207131,45,2016-11-05,400869476,Louisville,ACC,away,52,515,305,19-29,4,10.5,1,20,0,36,210,3,5.8,22,6,13,0,0,3,3,0,23,0,1,10,2,2,2,54,9,3,0,1,1,3,0,0,0,28:38,6-13,0-0,0-0
400869487,2016,11,regular,2016-11-12T19:00:00.000Z,,FALSE,TRUE,51218,3873,Papa John's Cardinal Stadium,97,Louisville,ACC,44,0.9999311633344242,154,Wake Forest,ACC,12,0.00006883666557577772,4.7749165165,Louisville,Wake Forest,44,12,W,38.2061,85.7588,40209,38.2061,85.7588,40209,0,0,0,32,2016-11-12,400869487,Louisville,ACC,home,44,491,145,14-26,1,5.6,1,31,1,37,346,4,9.4,20,5,12,1,1,3,11,0,85,0,3,8,1,3,4,60,13,7,6,0,2,3,1,4,55,21:44,5-12,1-1,4-55
400869562,2016,12,regular,2016-11-17T20:00:00.000Z,,FALSE,FALSE,42822,4728,John O'Quinn Field at TDECU Stadium,248,Houston,American Athletic,36,0.9912892843295916,97,Louisville,ACC,10,0.008710715670408375,2.3643107528,Louisville,Houston,10,36,L,29.722,95.3492,77004,38.2061,85.7588,40209,1293076.07169675,1293.07607169675,803.479971746283,-26,2016-11-17,400869562,Louisville,ACC,away,10,312,211,20-43,1,4.9,,,,40,101,0,2.5,18,8,21,2,4,,,,37,0,3,4,0,3,3,43,5,1,5,0,2,3,0,15,114,31:31,8-21,2-4,15-114
